Government Unit,Office,Core Functions,Primary Duties,Transactions,Related Records,Personal Data in the Records,Use of Personal Data,Purpose of Processing Personal Data,Statutory Authorization,Value of the Records,Primary Classification ,Secondary Classification ,Purpose of Processing Personal Data,Authority for Processing Personal Data,Retention Period for Personal Data,Retention & Disposition,,,General Retention Schedule
County,Clerk,Marriage licenses,Issue marriage licenses,Process application and payment,Application for License to Marry and receipt of payment,"The couple's full names including their maiden or bachelor name, social security number, current address, date and place of birth including the town or city, county, state or country if possible; the names of their parents including the maiden name of the mother; the parents' birthplaces including the town or city, county, state or country, if possible","The couple completes an Application for License to Marry and submits it to the clerk, the couple attests they may lawfully be married, and pays the license fee",To determine if the couple is eligible to marry,Utah Code § 81-2-303,"Historical, Administrative","Exempt, Utah Code § 26B-8-125, a vital record is only open for inspection in compliance with this statute and DHHS rules ","Exempt, Utah Code § 81-2-303(4), social security numbers may not be recorded on the marriage license but may be provided to DHHS or ORS who may use it for the administration of child support services",,,,Retain permanently,,,Vital Records GRS-285
,,,,Review couple's identity documents,"Couple's identity documents (passport, driver license, state identification card, birth certificate)","The couple's name, nationality, date of birth, place of birth, passport number, driver license number, identification card number, and name of parents",The clerk reviews the couple's identity documents and returns them to the couple,To verify the couple's identity and age,Utah Code § 81-2-303,Administrative,Private Utah Code § 63G-2-302 ,N/A,,,,The identity documents should only be reviewed and should not be collected or retained,,,
,,,,"Review the court order, proof of completion of counseling, minor's identity documents, and signed consent of the parent or legal guardian ","Petition and Application for Authorization to Marry and Findings and Order on Petition to Marry; proof of premarital counseling; the minor's certified birth certificate, report of a birth abroad, certificate of naturalization, certificate of citizenship, passport, driver's license, or state identification card; a certified adoption decree or court order establishing custody or guardianship of the minor; signed consent of the minor's parent or legal guardian","Minor's name, nationality, date of birth, place of birth, passport number, driver license number, identification card number, government employee identification number, and status as a member of the military; name of the parent or guardian","The minor files an action in juvenile court to get permission to marry from a judge, completes premarital counseling if required, and submits the additional application for a minor to marry to the clerk; the clerk reviews the application, the court order, and the minor's identity documents; the clerk witnesses the parents' consent to the marriage and returns the minor's identity documents","To verify the minor's legal name, identity, and birth date; determine the legal relationship between the minor and the minor's parent or legal guardian; and prove the parent or legal guardian has the authority to consent to the marriage of the minor",Utah Code § 81-2-304,Administrative ,Private Utah Code § 63G-2-302 ,N/A,,,,"The additional application for a minor to marry should be retained permanently, the rest of the documents should only be reviewed and should not be collected or retained",,,
,,,,Issue or deny marriage license,"Marriage license (may be combined with the marriage certificate), and any correspondence about a denial","The couple's full names, residence, age and place of birth; name of the county clerk ","After reviewing the application and all of the couple's supporting documentation, the clerk determines whether the couple is or is not eligible to marry; if the application is approved the clerk signs the marriage license and provides it to the couple; if the application is denied the couple is notified that their application was denied",To prove the couple is or is not authorized to marry,Utah Code § 81-2-303,"Historical, Administrative","Exempt, Utah Code § 26B-8-125, a vital record is only open for inspection in compliance with this statute and DHHS rules ",N/A,,,,"The marriage license should be retained permanently, any documentation related to a denial should be retained for 1 year and then destroyed ",,,
,,,Record/register marriages,Certify marriage,Marriage certificate (may be combined with the marriage license),"Couple's names, place of birth, current residence, and age; signature of the county clerk; names of officiant and witnesses; and date and place of marriage","After the wedding, the married couple, officiant, and witnesses sign the marriage certificate; the officiant returns the marriage license to the clerk, the clerk issues an official certificate of marriage to the couple",To prove the couple is lawfully married,Utah Code § 81-2-305,"Historical, Administrative","Exempt, Utah Code § 26B-8-125, the marriage certificate in the possession of the county clerk is a vital record","Public, Utah Code § 63G-2-301, once a marriage certificate is issued to the couple they may disclose it as they wish",,,,Retain permanently,,,
,,,,Record marriage,Marriage record book or index,Couple's names; the date and place of marriage,The clerk documents the marriage in the marriage index/record book,To preserve the official record of marriage,Utah Code § 81-2-305,Historical ,"Public, Utah Code § 63G-2-301, may be made available to the public as provided by Utah Code § 63G-2-201",N/A,,,,Retain permanently,,,
,,,,Register marriage,"Application, license, and certificate","The couple's full names including their maiden or bachelor name, social security number, current address, date and place of birth including the town or city, county, state or country if possible; the names of their parents including the maiden name of the mother; the parents' birthplaces including the town or city, county, state or country, if possible; names of clerk, officiant, and witnesses; and date and place of marriage",The clerk completes and certifies all of the information required by OVRS and transmits it electronically or in writing,To preserve the vital records,Utah Code § 81-2-306,"Historical, Administrative","Exempt, Utah Code § 26B-8-125, a vital record is only open for inspection in compliance with this statute and DHHS rules ",N/A,,,,Retain permanently,,,
